jumps_resolved_static,jumps_resolved_contextual,jumps_resolved_dynamic,jumps_unresolved_static,jumps_unresolved_contextual,jumps_unresolved_dynamic,uaa_no_target,uaa_unbounded,uaa_nonsound,term_stop,term_timeout,term_queue_full,term_max_depth,term_subsumed,term_invalid_opcode,term_stack_underflow,term_stack_overflow,term_stack_out_of_bound,term_op_error,uaa_total
111,0,0,0,0,0,0,0,0,96,0,0,0,14,0,0,0,0,0,0
345,0,0,0,0,4,0,0,4,288,0,0,0,32,20,0,0,0,0,4
241,0,0,0,0,6,0,0,6,211,0,0,0,22,10,0,0,0,0,6
624,0,22,0,0,11,0,0,11,517,0,0,0,87,39,0,0,0,0,11
857,0,13,0,0,2,0,0,2,461,0,0,0,236,150,0,0,0,0,2
97,0,0,0,0,0,0,0,0,59,0,0,0,39,0,0,0,0,0,0
106,0,0,0,0,2,0,0,2,104,0,0,0,2,3,0,0,0,0,2
273,0,0,0,0,1,0,0,1,236,0,0,0,32,1,0,0,0,0,1
556,0,0,0,0,5,0,0,5,491,0,0,0,38,25,0,0,0,0,5
1458,0,40,0,0,11,0,0,11,930,0,0,0,466,13,0,0,0,1,11
455,0,0,0,0,1,0,0,1,405,0,0,0,15,23,0,0,0,0,1
856,0,0,0,0,22,0,0,22,601,0,0,0,164,96,0,0,0,0,22
321,0,0,0,0,1,0,0,1,243,0,0,0,57,8,0,0,0,0,1
581,0,32,0,0,6,0,0,6,453,0,0,0,130,21,0,0,0,0,6
155,0,0,0,0,0,0,0,0,126,0,0,0,28,0,0,0,0,0,0
609,0,0,0,0,16,0,0,16,391,0,0,0,184,40,0,0,0,0,16
233,0,22,0,0,6,0,0,6,232,0,0,0,21,6,0,0,0,0,6
625,0,0,0,0,13,0,0,13,509,0,0,0,65,61,0,0,0,0,13
210,0,0,0,0,5,0,0,5,165,0,0,0,22,27,0,0,0,1,5
411,0,9,0,0,7,0,0,7,349,0,0,0,39,31,0,0,0,0,7
96,0,0,0,0,1,0,0,1,58,0,0,0,7,31,0,0,0,0,1
313,0,0,0,0,1,0,0,1,260,0,0,0,49,1,0,0,0,0,1
301,0,26,0,0,2,0,0,2,246,0,0,0,37,34,0,0,0,1,2
256,0,0,0,0,2,0,0,2,203,0,0,0,46,2,0,0,0,0,2
306,0,0,0,0,1,0,0,1,269,0,0,0,33,1,0,0,0,0,1
4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
505,0,0,0,0,12,0,0,12,382,0,0,0,121,13,0,0,0,0,12
338,0,2,0,0,0,0,0,0,273,0,0,0,49,10,0,0,0,0,0
209,0,0,0,0,2,0,0,2,163,0,0,0,31,14,0,0,0,0,2
20,0,0,0,0,0,0,0,0,20,0,0,0,2,8,0,0,1,0,0
137,0,0,0,0,0,0,0,0,114,0,0,0,17,0,0,0,0,0,0
218,0,0,0,0,1,0,0,1,173,0,0,0,34,11,0,0,0,0,1
948,0,53,0,0,6,0,0,6,789,0,0,0,178,24,0,0,0,1,6
130,0,0,0,0,0,0,0,0,94,0,0,0,35,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,108,0,0,0,19,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,156,0,0,0,61,0,0,0,0,0,0
224,0,18,0,0,5,0,0,5,220,0,0,0,21,5,0,0,0,0,5
35,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0
1315,0,0,0,0,18,0,0,18,840,0,0,0,335,135,0,0,0,0,18
82,0,0,0,0,0,0,0,0,77,0,0,0,2,3,0,0,0,0,0
859,0,0,0,0,20,0,0,20,721,0,0,0,68,57,0,0,0,0,20
331,0,0,0,0,2,0,0,2,265,0,0,0,45,22,0,0,0,0,2
1364,0,0,0,0,13,0,0,13,838,0,0,0,405,110,0,0,0,0,13
260,0,0,0,0,0,0,0,0,189,0,0,0,49,19,0,0,0,0,0
267,0,0,0,0,1,0,0,1,266,0,0,0,2,1,0,0,0,0,1
300,0,0,0,0,3,0,0,3,234,0,0,0,31,35,0,0,0,0,3
218,0,0,0,0,1,0,0,1,180,0,0,0,31,3,0,0,0,0,1
205,0,0,0,0,1,0,0,1,169,0,0,0,31,1,0,0,0,0,1
890,0,0,0,0,8,0,0,8,542,0,0,0,276,64,0,0,0,0,8
226,0,0,0,0,0,0,0,0,173,0,0,0,49,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,116,0,0,0,3,0,0,0,0,0,0
103,0,0,0,0,1,0,0,1,95,0,0,0,7,1,0,0,0,0,1
376,0,0,0,0,6,0,0,6,332,0,0,0,28,9,0,0,0,0,6
10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,1,0,0,1,183,0,0,0,38,3,0,0,0,0,1
670,0,0,0,0,13,0,0,13,458,0,0,0,126,96,0,0,0,0,13
198,0,0,0,0,11,0,0,11,186,0,0,0,8,16,0,0,0,0,11
276,0,0,0,0,2,0,0,2,243,0,0,0,12,21,0,0,0,0,2
346,0,0,0,0,3,0,0,3,330,0,0,0,2,10,0,0,0,0,3
84,0,0,0,0,0,0,0,0,71,0,0,0,10,0,0,0,0,0,0
494,0,30,0,0,5,0,0,5,297,0,0,0,155,69,0,0,0,1,5
102,0,0,0,0,0,0,0,0,88,0,0,0,10,2,0,0,0,0,0
415,0,0,0,0,1,0,0,1,324,0,0,0,78,11,0,0,0,0,1
966,0,0,0,0,20,0,0,20,826,0,0,0,69,61,0,0,0,0,20
588,0,39,0,0,8,0,0,8,438,0,0,0,110,59,1,0,0,0,8
