sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x0581a0abe32aae9b5f0f68defab77c6759100085.evm_runtime,ok,97876,1490,98.66,false,,70,94,26,0.0195,2,23,1.34,1.34,25,3,1,1,0,true,0,70,70,100.00,15,0
Contract_0x06a18723818cdf9ab08ed8ceb0b931777a41c8f9.evm_runtime,ok,103516,1720,99.42,false,,269,377,110,0.0052,6,84,1.40,1.40,101,19,1,1,0,true,0,269,269,100.00,30,0
Contract_0x06a8cf8f54f04094a266a49f4886c578dc42b548.evm_runtime,ok,123324,2480,98.79,false,,477,692,217,0.0030,13,71,1.45,1.45,190,67,2,1,0,true,0,476,477,99.79,36,0
Contract_0x06be577e3a6cc2cfaa6140b7d2e8a5ec61887439.evm_runtime,ok,102884,1710,98.83,false,,85,116,33,0.0162,2,21,1.36,1.36,32,11,1,1,0,true,0,85,85,100.00,15,0
Contract_0x06f3c1f0d8a444e22f6e7013f318b39cb6f82529.evm_runtime,ok,102676,1750,98.86,false,,129,178,51,0.0108,2,35,1.38,1.38,50,15,1,1,0,true,0,129,129,100.00,17,0
Contract_0x06f50C56E8a5EC54B7890af2234a968e5244dA63.evm_runtime,ok,101624,1650,98.79,false,,119,173,56,0.0123,3,39,1.45,1.45,53,14,1,1,0,true,0,119,119,100.00,26,0
Contract_0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672.evm_runtime,ok,157752,4190,99.52,false,,1205,1665,462,0.0011,16,204,1.38,1.38,421,219,165,1,0,true,10833,591,1205,49.05,34,0
Contract_0x074544d3ab4026f7b4f107a3f5f320fca9c5709f.evm_runtime,ok,109688,2170,99.08,false,,408,571,165,0.0034,12,103,1.40,1.40,140,30,1,1,0,true,0,408,408,100.00,21,0
Contract_0x07b1f172268e1737c3176b50033dcbd7755284ee.evm_runtime,ok,106264,1740,98.85,false,,303,439,138,0.0048,8,70,1.45,1.45,125,28,1,1,0,true,0,303,303,100.00,17,0
Contract_0x081f5489a66d3c75d615040fddd64d9ba1e74e76.evm_runtime,ok,102100,1690,99.41,false,,185,257,74,0.0076,4,55,1.39,1.39,70,15,1,1,0,true,0,185,185,100.00,25,0
Contract_0x0901f6530fe9b2ff3e50dc62b70e6bcb79c8b1ba.evm_runtime,ok,121508,2480,98.39,false,,232,330,100,0.0062,11,43,1.42,1.42,76,41,1,1,0,true,0,232,232,100.00,30,0
Contract_0x093bc4c8918522f09b4c2a31cf9ab2556de694c8.evm_runtime,ok,108340,1760,96.02,false,,158,220,64,0.0089,2,50,1.39,1.39,63,13,1,1,0,true,0,158,158,100.00,35,0
Contract_0x0946e36C2887025c389EF85Ea5f9150E0BEd4D69.evm_runtime,ok,109196,2570,98.05,false,,594,831,239,0.0024,13,158,1.40,1.40,223,65,1,1,0,true,0,594,594,100.00,55,0
Contract_0x097e8a763fa037d741740af72976259ea315fe3d.evm_runtime,ok,155904,7550,99.47,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x099ca2CED330cea3cDce7355150495Ae750C9B4E.evm_runtime,ok,87592,1630,98.77,false,,26,34,10,0.0523,2,8,1.31,1.31,9,3,1,1,0,false,0,26,26,100.00,11,0
Contract_0x09aE3312CAaA337c74E117F71A5D2a09eC77Ad79.evm_runtime,ok,102372,1570,98.73,false,,123,169,48,0.0113,2,25,1.37,1.37,47,21,1,1,0,true,0,123,123,100.00,18,0
Contract_0x09ab0089e07dec0ba71153cd818c44bd29562129.evm_runtime,ok,102208,1680,98.21,false,,131,187,58,0.0110,2,31,1.43,1.43,57,17,1,1,0,true,0,131,131,100.00,23,0
Contract_0x09af99b655e39b0469782af86502694a1fbcf2be.evm_runtime,ok,106604,1810,98.34,false,,185,257,74,0.0076,4,55,1.39,1.39,70,15,1,1,0,true,0,185,185,100.00,25,0
Contract_0x0B660D66b05a743Df3755058c2e63d5a5f2bA2F7.evm_runtime,ok,105768,2380,99.16,false,,321,469,150,0.0046,11,100,1.46,1.46,134,28,1,1,0,true,0,321,321,100.00,28,0
Contract_0x0B96eDCBF6C4a96b672034F12BAdF098de6eA26C.evm_runtime,ok,105324,1950,98.97,false,,337,489,154,0.0043,12,73,1.45,1.45,126,32,1,1,0,true,0,337,337,100.00,44,0
Contract_0x0C4892Ce724698205a03AE8167436Bb39d5E4D9B.evm_runtime,ok,104272,2010,98.51,false,,383,561,180,0.0038,7,87,1.46,1.46,155,42,1,1,0,true,0,383,383,100.00,19,0
Contract_0x0CFF38783be6bfeC8B32c24d501B40874348e167.evm_runtime,ok,107748,2030,100.00,false,,298,426,130,0.0048,3,91,1.43,1.43,128,35,1,1,0,true,0,298,298,100.00,44,0
Contract_0x0addedfee0e8a65c9a60067b9fe0f24af96da51d.evm_runtime,ok,104520,1910,98.43,false,,279,419,142,0.0054,10,66,1.50,1.50,114,39,1,1,0,true,0,279,279,100.00,16,0
Contract_0x0b4D742d52EE0C4391439f80822B26fDF1ad6Ee7.evm_runtime,ok,99760,1460,99.32,false,,58,81,25,0.0245,6,17,1.40,1.40,20,9,2,1,0,true,0,57,58,98.28,14,0
Contract_0x0b71bb83d2814633f7dfeb9cb5c4c2e63be215ed.evm_runtime,ok,104716,1800,98.89,false,,307,448,143,0.0048,9,93,1.46,1.46,131,31,1,1,0,true,0,307,307,100.00,26,0
Contract_0x0b79d476dac963bf4d342233ab129ab833077627.evm_runtime,ok,103052,1690,98.82,false,,238,342,106,0.0061,2,58,1.44,1.44,105,30,1,1,0,true,0,238,238,100.00,18,0
Contract_0x0ba48bb1994b33c2563385f5b3e5d5daabbbf345.evm_runtime,ok,104524,1770,98.87,false,,380,548,170,0.0038,5,89,1.44,1.44,159,44,3,1,0,true,0,374,380,98.42,29,0
Contract_0x0bb4f50d431942986941a68721fe8b8f0b9fe051.evm_runtime,ok,153168,4890,99.59,false,,431,602,173,0.0032,4,118,1.40,1.40,169,50,1,1,0,true,0,431,431,100.00,25,0
Contract_0x0c74f22130c985fa02e7105d6095fb782e9eb08c.evm_runtime,ok,235560,12240,99.67,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0ca0d1d286bcd99d8c48b3ac71269b793b45dab3.evm_runtime,ok,103240,2160,99.07,false,,183,254,73,0.0076,4,54,1.39,1.39,69,15,1,1,0,true,0,183,183,100.00,25,0
Contract_0x0cb6f0a13f25afb4adef19736a7eb338dc52333e.evm_runtime,ok,116804,2870,99.30,false,,540,720,182,0.0025,11,75,1.33,1.33,123,50,2,1,0,true,0,539,540,99.81,35,0
Contract_0x0d8fc15b6fefc278ff642861df51b45607330871.evm_runtime,fail,71256,1110,99.10,false,1,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0de2a05c8a3f25651c7fe0fdad821aeec916f7fa.evm_runtime,ok,103796,1940,98.97,false,,349,509,162,0.0042,5,111,1.46,1.46,157,28,1,1,0,true,0,349,349,100.00,44,0
Contract_0x0e26b2dc8ef577baf50891eac94f0def59b5da16.evm_runtime,ok,114012,2890,98.96,false,,484,704,222,0.0030,4,143,1.45,1.45,217,39,1,1,0,true,0,484,484,100.00,37,0
Contract_0x0e3f6315c57d300a33b16b566b4fc95404f895ba.evm_runtime,ok,96664,1610,98.76,false,,86,122,38,0.0167,2,24,1.42,1.42,37,9,1,1,0,true,0,86,86,100.00,15,0
Contract_0x0e5e5c1b981a20be2bfade0b114e5fe7ba6eff7f.evm_runtime,ok,103456,2340,99.57,false,,236,318,84,0.0057,2,66,1.35,1.35,83,18,3,1,0,true,0,234,236,99.15,38,0
Contract_0x0e852a82cb5f1dadc1715bfc17d4d5a9796120fb.evm_runtime,ok,101928,1710,97.08,false,,102,139,39,0.0135,4,26,1.36,1.36,35,10,1,1,0,true,0,102,102,100.00,12,0
Contract_0x0eb43ce1708f415dfb1734a3f69a89403011a4c1.evm_runtime,ok,103768,2320,99.14,false,,303,439,138,0.0048,8,70,1.45,1.45,125,28,1,1,0,true,0,303,303,100.00,17,0
Contract_0x0f4f45f2edba03d4590bd27cf4fd62e91a2a2d6a.evm_runtime,ok,105208,2230,98.65,false,,503,734,233,0.0029,5,162,1.46,1.46,229,44,1,1,0,true,0,503,503,100.00,23,0
Contract_0x0fe4f2398fc9d1186398461dff126130bef11a6e.evm_runtime,ok,101648,1780,98.88,false,,96,136,42,0.0149,2,30,1.42,1.42,41,13,1,1,0,true,0,96,96,100.00,49,0
Contract_0x103675510a219bd84CE91d1bcb82Ca194D665a09.evm_runtime,ok,116524,2810,99.29,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x10591b8e3e83cd9852172f022a5a70edfb66063d.evm_runtime,ok,156304,7390,99.73,false,,639,970,333,0.0024,21,140,1.52,1.52,242,64,1,1,0,true,0,639,639,100.00,55,0
Contract_0x10753aeb1cFe93B257fa422c940668bbF765dAf3.evm_runtime,ok,84644,1740,98.85,false,,21,26,7,0.0619,2,4,1.24,1.24,6,4,1,1,0,true,0,21,21,100.00,10,0
Contract_0x110f1c8ce1f0b7977193eda2ba144dc45b0dd7aa.evm_runtime,ok,102788,2040,97.55,false,,237,343,108,0.0061,9,76,1.45,1.45,98,13,1,1,0,true,0,237,237,100.00,44,0
Contract_0x12028be581b6ab8e6be1bb67abd39298ccadd6d5.evm_runtime,ok,101072,1790,98.88,false,,99,135,38,0.0139,2,25,1.36,1.36,37,12,1,1,0,true,0,99,99,100.00,17,0
Contract_0x12034f265c1dc4a0f638f55159ae184ea16a01eb.evm_runtime,ok,101504,1720,98.84,false,,174,253,81,0.0084,6,45,1.45,1.45,70,21,1,1,0,true,0,174,174,100.00,21,0
Contract_0x1277009197F59600285D4e319700000000d94e73.evm_runtime,ok,102888,1790,99.44,false,,140,195,57,0.0100,3,37,1.39,1.39,55,18,1,1,0,true,0,140,140,100.00,30,0
Contract_0x13110480c3c83ad103159ca239d82feb7a9b1a45.evm_runtime,ok,103724,2190,99.09,false,,359,498,141,0.0039,5,105,1.39,1.39,134,29,1,1,0,true,0,359,359,100.00,36,0
Contract_0x131bea5c6679b9df528de29ba9b8f91ced3919af.evm_runtime,ok,109032,2280,98.68,false,,242,347,107,0.0060,20,24,1.43,1.43,65,39,1,1,0,true,0,242,242,100.00,21,0
Contract_0x132a04f3f6196b499a7ed512c15e002d5dcefa9a.evm_runtime,ok,139108,5230,99.62,false,,452,666,216,0.0033,22,69,1.47,1.47,153,83,2,1,0,true,0,451,452,99.78,24,0
