sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x40a930851bd2e590bd5a5c981b436de25742e980.evm,ok,121428,2210,97.74,false,0,88,88,92,6,0.0120,2,2,1.05,1.05,37,5,1,33,0,true,s_0,88,88,18,0,false,0.00,0
Contract_0x40c43097a3e0db9ffa83c648b74bda9e2db58851.evm,ok,124572,2340,99.15,false,0,89,87,101,14,0.0129,2,3,1.13,1.13,33,10,1,21,0,true,s_0,89,89,15,0,false,0.00,0
Contract_0x40f941E48A552bF496B154Af6bf55725f18D77c3.evm,ok,118216,2010,99.00,false,0,68,59,69,3,0.0151,2,3,1.01,1.01,19,1,1,18,0,false,s_0,68,68,18,0,false,0.00,0
Contract_0x41021f6cd41b115825f7b025f6bb1d831dec3fe4.evm,ok,123748,2220,98.65,false,0,88,88,99,13,0.0129,2,5,1.12,1.12,37,7,1,26,0,true,s_0,88,88,15,0,false,0.00,0
Contract_0x411db93818dbd04d6a2bd46b8f4c4bd2e5f2fbc1.evm,ok,149820,3460,98.84,false,0,227,227,252,27,0.0049,2,6,1.11,1.11,83,20,1,58,0,true,s_0,227,227,16,0,false,0.00,0
Contract_0x411f62eb0f063ca5c063154e98e6dd5c451dbd23.evm,ok,148116,3010,98.67,false,0,160,150,176,18,0.0069,2,4,1.10,1.10,59,12,1,43,0,true,s_0,160,160,24,0,false,0.00,0
Contract_0x418975b174de41b4ace9734d00f0fa4efe5f279f.evm,ok,116452,1910,96.34,false,0,42,40,44,4,0.0256,2,2,1.05,1.05,18,3,1,16,0,true,s_0,42,42,16,0,false,0.00,0
Contract_0x41b00464eb3427f5b05f42df31e49e083a73bd0f.evm,ok,127264,2500,98.40,false,0,117,117,124,9,0.0091,2,4,1.06,1.06,47,4,1,40,0,false,s_0,117,117,24,0,false,0.00,0
Contract_0x41d6d16524b0fa908324230946bdf44dd68a61ed.evm,ok,144784,3090,96.44,false,0,150,139,169,21,0.0076,2,4,1.13,1.13,54,15,1,35,0,true,s_0,150,150,22,0,false,0.00,0
Contract_0x420eb07beff2e0d90236db7ebcbe1e52ac0a8e0c.evm,ok,114720,1810,98.34,false,0,58,55,58,2,0.0175,2,2,1.00,1.00,11,1,1,11,0,false,s_0,58,58,47,0,false,0.00,0
Contract_0x4246711f72e72b3a42c9f15633852d6382d2e098.evm,ok,151096,3970,98.74,false,0,301,269,338,39,0.0037,2,9,1.12,1.12,109,10,1,72,0,false,s_0,301,301,33,0,false,0.00,0
Contract_0x424c9035bc3606f2887a5bbe28beaa9de49db9e8.evm,ok,112928,1970,98.48,false,0,11,11,10,1,0.0909,2,1,0.91,0.91,5,0,1,6,0,false,s_0,11,11,5,0,false,0.00,0
Contract_0x42F21fBD1C8711b2EdD0853f98feD73E6A5d280D.evm,ok,113848,1740,97.70,false,0,45,42,50,7,0.0253,2,2,1.11,1.11,13,6,1,8,0,true,s_0,45,45,24,0,false,0.00,0
Contract_0x42be87ab95032f26c2badccf32a7ec2f59431950.evm,ok,113008,1730,98.84,false,0,37,37,40,5,0.0300,2,2,1.08,1.08,14,4,1,11,0,true,s_0,37,37,23,0,false,0.00,0
Contract_0x4340b48b1a7a83a5b355ed4ce50559eeb8a91836.evm,ok,147952,3060,99.02,false,0,194,184,212,20,0.0057,2,4,1.09,1.09,73,14,1,55,0,true,s_0,194,194,25,0,false,0.00,0
Contract_0x43F19616c4D677771beE32c467c58621C9d67b3B.evm,ok,148008,3150,98.41,false,0,215,210,239,26,0.0052,2,4,1.11,1.11,83,22,1,59,0,true,s_0,215,215,37,0,false,0.00,0
Contract_0x43aaC7F1b47ff29d33DEC14DCAa7901D1Bb8C006.evm,ok,126956,2450,98.37,false,0,124,124,142,20,0.0093,2,3,1.15,1.15,50,15,1,32,0,true,s_0,124,124,22,0,false,0.00,0
Contract_0x43bc1901bfe5f2244c7de107405321ea5ab38939.evm,ok,112192,1700,97.65,false,0,27,27,27,2,0.0385,2,2,1.00,1.00,13,1,1,13,0,false,s_0,27,27,14,0,false,0.00,0
Contract_0x43cf9E26857B188868051bDcFAcEdBB38531964E.evm,ok,124236,2360,98.31,false,0,41,40,42,3,0.0256,2,2,1.02,1.02,15,2,1,14,0,false,s_0,41,41,13,0,false,0.00,0
Contract_0x43f263e363c0c2e39033fcbd9982b78a42d43031.evm,ok,125552,2590,98.46,false,0,111,111,126,17,0.0103,2,4,1.14,1.14,42,12,1,27,0,true,s_0,111,111,14,0,false,0.00,0
Contract_0x442e735978155ed54ab19201ec834bb519f60168.evm,ok,124408,2230,99.10,false,0,93,93,105,14,0.0123,2,6,1.13,1.13,37,7,1,25,0,true,s_0,93,93,16,0,false,0.00,0
Contract_0x444622deFCB05204A6F85E39A414658460679710.evm,ok,149532,3080,98.38,false,0,196,117,213,19,0.0056,2,3,1.09,1.09,27,15,1,10,0,true,s_0,196,196,58,0,false,0.00,0
Contract_0x4454af7c8bb9463203b66c816220d41ed7837f44.evm,ok,128336,2620,98.09,false,0,128,128,130,4,0.0080,2,4,1.02,1.02,51,1,1,49,0,false,s_0,128,128,21,0,false,0.00,0
Contract_0x44585bbddd111dc642abb19947573dfa389a8d5b.evm,ok,109248,1510,98.01,false,0,28,28,30,4,0.0397,2,2,1.07,1.07,11,3,1,9,0,false,s_0,28,28,8,0,false,0.00,0
Contract_0x44c23fb0d6f013b118c4d5267f8a676eefc90c24.evm,ok,141888,2920,98.29,false,0,157,157,175,20,0.0071,2,5,1.11,1.11,57,12,1,39,0,true,s_0,157,157,16,0,false,0.00,0
Contract_0x45045a31d43fe159077eae1f5acc4cc4adc35776.evm,ok,278448,19300,98.60,false,0,1118,910,1415,299,0.0011,2,36,1.27,1.27,500,202,1,203,0,true,s_0,1118,1118,69,0,false,0.00,0
Contract_0x451239b6d8f3c3767612aed9fc681afe186aa145.evm,ok,156112,4390,98.86,false,0,339,328,370,33,0.0032,2,13,1.09,1.09,139,8,1,108,0,false,s_0,339,339,25,0,false,0.00,0
Contract_0x45639d24d8E145Fe40e24A7a60cbC32D275f65b6.evm,ok,146864,3070,98.70,false,0,194,184,212,20,0.0057,2,4,1.09,1.09,73,14,1,55,0,true,s_0,194,194,25,0,false,0.00,0
Contract_0x45ad2ecc645bea6f317825b339341b518954994d.evm,ok,145448,3130,98.40,false,0,174,150,193,21,0.0064,2,3,1.11,1.11,74,19,1,55,0,true,s_0,174,174,27,0,false,0.00,0
Contract_0x45d0251bc82b0d383006ca536fc580db113eb4d7.evm,ok,157572,4230,99.05,false,0,300,282,332,34,0.0037,2,9,1.11,1.11,111,17,1,79,0,true,s_0,300,300,45,0,false,0.00,0
Contract_0x45f2ab0ca2116b2e1a70bf5e13293947b25d0272.evm,ok,144768,2970,98.32,false,0,150,150,165,17,0.0074,2,5,1.10,1.10,63,9,1,48,0,true,s_0,150,150,16,0,false,0.00,0
Contract_0x46154d54b073ed1f5fc11ac8bdc0a8318003d604.evm,ok,123616,2250,99.11,false,0,94,90,109,17,0.0125,2,5,1.16,1.16,37,10,1,22,0,true,s_0,94,94,24,0,false,0.00,0
Contract_0x463c3acb2f44a6f715dd41ef4727e6e24358475b.evm,ok,121184,2170,99.08,false,0,94,94,100,8,0.0114,2,3,1.06,1.06,37,6,1,31,0,true,s_0,94,94,14,0,false,0.00,0
Contract_0x4673D0270D05260d39F6FdAF31D620Be95d242AB.evm,ok,178656,6950,97.41,false,0,618,507,708,92,0.0019,2,13,1.15,1.15,206,43,1,116,0,true,s_0,618,618,75,0,false,0.00,0
Contract_0x46c4d3fd8c64525896f3d9dda04af0996ae7eda5.evm,ok,125700,2540,98.43,false,0,98,98,119,23,0.0125,2,7,1.21,1.21,42,12,1,21,0,true,s_0,98,98,17,0,false,0.00,0
Contract_0x472c31697633daCd24C4674b4571d4A393d54870.evm,ok,129948,2700,98.52,false,0,134,134,137,5,0.0077,2,3,1.02,1.02,65,3,1,62,0,false,s_0,134,134,24,0,false,0.00,0
