sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x06be577e3a6cc2cfaa6140b7d2e8a5ec61887439.evm,ok,18976,10,100.00,false,,84,95,13,0.0136,2,3,1.13,1.13,32,10,1,21,0,true,0,84,84,100.00,15,0
Contract_0x06f3c1f0d8a444e22f6e7013f318b39cb6f82529.evm,ok,18836,10,0.00,false,,129,143,16,0.0087,2,3,1.11,1.11,50,14,2,36,1,true,0,128,129,99.22,17,1
Contract_0x06f50C56E8a5EC54B7890af2234a968e5244dA63.evm,ok,18980,10,0.00,false,,119,134,17,0.0095,3,3,1.13,1.13,53,13,2,40,1,true,0,118,119,99.16,26,1
Contract_0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672.evm,fail,1002676,18650,73.62,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x074544d3ab4026f7b4f107a3f5f320fca9c5709f.evm,ok,18968,20,50.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x07b1f172268e1737c3176b50033dcbd7755284ee.evm,ok,18836,10,100.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x081f5489a66d3c75d615040fddd64d9ba1e74e76.evm,ok,18960,10,0.00,false,,184,202,20,0.0060,4,4,1.10,1.10,70,14,1,55,0,true,0,184,184,100.00,25,0
Contract_0x0901f6530fe9b2ff3e50dc62b70e6bcb79c8b1ba.evm,ok,18968,20,0.00,false,,231,287,58,0.0054,11,6,1.24,1.24,76,40,1,43,0,true,0,231,231,100.00,30,0
Contract_0x093bc4c8918522f09b4c2a31cf9ab2556de694c8.evm,fail,18972,10,100.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0946e36C2887025c389EF85Ea5f9150E0BEd4D69.evm,ok,18980,30,33.33,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x097e8a763fa037d741740af72976259ea315fe3d.evm,ok,18976,40,50.00,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x099ca2CED330cea3cDce7355150495Ae750C9B4E.evm,fail,18964,10,0.00,false,101,,,,,,,,,,,,,,,,,,,,,,
Contract_0x09aE3312CAaA337c74E117F71A5D2a09eC77Ad79.evm,ok,18980,10,0.00,false,,122,144,24,0.0098,2,3,1.18,1.18,47,20,1,25,0,true,0,122,122,100.00,18,0
