sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x056a6724266920649540c169d8446ecffca25473.evm,ok,15528,20,0.00,false,0,226,226,252,28,0.0050,4,11,1.12,1.12,85,14,1,63,0,true,block_0x0000,226,226,31,0,false,0.00,233
Contract_0x0577c56880592d11635d3450063ef773bffc60f6.evm,ok,12484,10,0.00,false,0,103,103,122,23,0.0116,5,5,1.18,1.18,43,11,2,27,1,true,block_0x0000,103,103,12,0,false,0.00,140
Contract_0x0581a0abe32aae9b5f0f68defab77c6759100085.evm,ok,12488,10,0.00,false,0,70,70,73,5,0.0151,2,3,1.04,1.04,27,3,1,24,0,true,block_0x0000,70,70,15,0,false,0.00,69
Contract_0x06a18723818cdf9ab08ed8ceb0b931777a41c8f9.evm,ok,15924,20,50.00,false,0,253,253,287,36,0.0045,4,13,1.13,1.13,110,17,1,79,0,true,block_0x0000,253,253,30,0,false,0.00,268
Contract_0x06a8cf8f54f04094a266a49f4886c578dc42b548.evm,ok,21064,50,60.00,false,0,344,344,443,101,0.0038,4,22,1.29,1.29,155,43,1,61,0,true,block_0x0000,344,344,36,0,false,0.00,476
Contract_0x06be577e3a6cc2cfaa6140b7d2e8a5ec61887439.evm,ok,12492,0,0.00,false,0,85,85,98,15,0.0137,2,3,1.15,1.15,35,11,1,22,0,true,block_0x0000,85,85,15,0,false,0.00,84
Contract_0x06f3c1f0d8a444e22f6e7013f318b39cb6f82529.evm,ok,14028,20,0.00,false,0,129,129,153,26,0.0093,3,10,1.19,1.19,58,15,1,36,0,true,block_0x0000,129,129,17,0,false,0.00,128
Contract_0x06f50C56E8a5EC54B7890af2234a968e5244dA63.evm,ok,12660,10,0.00,false,0,92,92,103,13,0.0123,3,3,1.12,1.12,40,9,1,30,0,true,block_0x0000,92,92,26,0,false,0.00,118
Contract_0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672.evm,ok,19828,20,50.00,false,0,226,226,278,54,0.0055,5,13,1.23,1.23,93,19,1,48,0,true,block_0x0000,226,226,21,0,false,0.00,1204
Contract_0x074544d3ab4026f7b4f107a3f5f320fca9c5709f.evm,ok,20740,30,66.67,false,0,336,336,390,56,0.0035,5,11,1.16,1.16,136,22,1,91,0,true,block_0x0000,336,336,21,0,false,0.00,407
Contract_0x07b1f172268e1737c3176b50033dcbd7755284ee.evm,ok,16404,20,50.00,false,0,295,295,369,76,0.0043,4,16,1.25,1.25,140,27,1,71,0,true,block_0x0000,295,295,17,0,false,0.00,302
Contract_0x081f5489a66d3c75d615040fddd64d9ba1e74e76.evm,ok,14988,30,33.33,false,0,183,183,209,28,0.0063,4,9,1.14,1.14,78,15,1,55,0,true,block_0x0000,183,183,25,0,false,0.00,184
Contract_0x0901f6530fe9b2ff3e50dc62b70e6bcb79c8b1ba.evm,ok,13328,20,50.00,false,0,105,105,132,29,0.0121,4,11,1.26,1.26,42,18,1,20,0,true,block_0x0000,105,105,31,0,false,0.00,231
Contract_0x093bc4c8918522f09b4c2a31cf9ab2556de694c8.evm,ok,22092,20,100.00,false,0,428,428,515,91,0.0028,5,20,1.20,1.20,178,41,2,99,1,true,block_0x0000,428,428,35,0,false,0.00,660
Contract_0x0946e36C2887025c389EF85Ea5f9150E0BEd4D69.evm,ok,29352,40,75.00,false,0,558,558,647,91,0.0021,4,19,1.16,1.16,233,62,1,148,0,true,block_0x0000,558,558,55,0,false,0.00,593
Contract_0x097e8a763fa037d741740af72976259ea315fe3d.evm,ok,44188,70,71.43,false,0,794,794,940,148,0.0015,3,9,1.18,1.18,358,109,1,218,0,true,block_0x0000,794,794,45,0,false,0.00,945
Contract_0x099ca2CED330cea3cDce7355150495Ae750C9B4E.evm,ok,15240,10,100.00,false,0,198,198,256,62,0.0066,4,16,1.29,1.29,96,22,2,43,1,true,block_0x0000,198,198,18,0,false,0.00,281
Contract_0x09aE3312CAaA337c74E117F71A5D2a09eC77Ad79.evm,ok,13672,10,0.00,false,0,123,123,150,29,0.0100,2,6,1.22,1.22,53,21,1,26,0,true,block_0x0000,123,123,18,0,false,0.00,122
Contract_0x09ab0089e07dec0ba71153cd818c44bd29562129.evm,ok,12668,10,0.00,false,0,124,124,152,30,0.0100,2,7,1.23,1.23,57,16,1,29,0,true,block_0x0000,124,124,23,0,false,0.00,130
Contract_0x09af99b655e39b0469782af86502694a1fbcf2be.evm,ok,14936,20,50.00,false,0,183,183,209,28,0.0063,4,9,1.14,1.14,78,15,1,55,0,true,block_0x0000,183,183,25,0,false,0.00,184
Contract_0x0B660D66b05a743Df3755058c2e63d5a5f2bA2F7.evm,ok,17840,20,50.00,false,0,253,253,296,45,0.0046,5,11,1.17,1.17,117,19,1,80,0,true,block_0x0000,253,253,25,0,false,0.00,320
Contract_0x0B96eDCBF6C4a96b672034F12BAdF098de6eA26C.evm,ok,16508,20,50.00,false,0,282,282,344,64,0.0043,4,17,1.22,1.22,126,21,1,71,0,true,block_0x0000,282,282,45,0,false,0.00,336
Contract_0x0C4892Ce724698205a03AE8167436Bb39d5E4D9B.evm,ok,20176,20,50.00,false,0,330,330,404,76,0.0037,5,14,1.22,1.22,142,31,1,77,0,true,block_0x0000,330,330,19,0,false,0.00,382
Contract_0x0CFF38783be6bfeC8B32c24d501B40874348e167.evm,ok,19640,20,50.00,false,0,265,265,299,36,0.0043,2,6,1.13,1.13,119,28,1,85,0,true,block_0x0000,265,265,44,0,false,0.00,297
Contract_0x0addedfee0e8a65c9a60067b9fe0f24af96da51d.evm,ok,16880,20,50.00,false,0,248,248,302,56,0.0049,4,10,1.22,1.22,113,26,1,64,0,true,block_0x0000,248,248,16,0,false,0.00,278
Contract_0x0b4D742d52EE0C4391439f80822B26fDF1ad6Ee7.evm,ok,12488,10,0.00,false,0,44,44,51,9,0.0270,2,3,1.16,1.16,19,7,1,12,0,true,block_0x0000,44,44,10,0,false,0.00,60
Contract_0x0b71bb83d2814633f7dfeb9cb5c4c2e63be215ed.evm,ok,14752,10,0.00,false,0,178,178,206,30,0.0065,5,9,1.16,1.16,78,13,1,53,0,true,block_0x0000,178,178,24,0,false,0.00,306
Contract_0x0b79d476dac963bf4d342233ab129ab833077627.evm,ok,16508,20,50.00,false,0,237,237,285,50,0.0051,2,12,1.20,1.20,107,29,1,59,0,true,block_0x0000,237,237,18,0,false,0.00,237
Contract_0x0ba48bb1994b33c2563385f5b3e5d5daabbbf345.evm,ok,20632,30,66.67,false,0,362,362,449,89,0.0034,4,17,1.24,1.24,169,43,1,87,0,true,block_0x0000,362,362,29,0,false,0.00,379
Contract_0x0bb4f50d431942986941a68721fe8b8f0b9fe051.evm,ok,13080,10,0.00,false,0,71,71,106,39,0.0213,2,27,1.49,1.49,42,9,2,7,1,false,block_0x0000,71,71,12,0,false,0.00,431
Contract_0x0c74f22130c985fa02e7105d6095fb782e9eb08c.evm,ok,35140,50,80.00,false,0,579,579,753,176,0.0023,5,26,1.30,1.30,261,80,1,104,0,true,block_0x0000,579,579,64,0,false,0.00,1065
Contract_0x0ca0d1d286bcd99d8c48b3ac71269b793b45dab3.evm,ok,14872,10,0.00,false,0,183,183,208,27,0.0062,4,8,1.14,1.14,77,15,1,55,0,true,block_0x0000,183,183,25,0,false,0.00,182
Contract_0x0cb6f0a13f25afb4adef19736a7eb338dc52333e.evm,ok,13796,20,50.00,false,0,109,109,141,34,0.0120,4,14,1.29,1.29,40,16,1,14,0,true,block_0x0000,109,109,25,0,false,0.00,538
Contract_0x0d8fc15b6fefc278ff642861df51b45607330871.evm,ok,12484,10,0.00,false,0,173,173,180,9,0.0060,2,3,1.04,1.04,84,7,1,77,0,true,block_0x0000,173,173,23,0,false,0.00,173
Contract_0x0de2a05c8a3f25651c7fe0fdad821aeec916f7fa.evm,ok,21204,30,33.33,false,0,348,348,400,54,0.0033,3,10,1.15,1.15,162,28,1,112,0,true,block_0x0000,348,348,44,0,false,0.00,348
Contract_0x0e26b2dc8ef577baf50891eac94f0def59b5da16.evm,ok,22164,30,66.67,false,0,409,409,479,72,0.0029,4,17,1.17,1.17,196,27,1,129,0,true,block_0x0000,409,409,37,0,false,0.00,484
Contract_0x0e3f6315c57d300a33b16b566b4fc95404f895ba.evm,ok,12476,0,0.00,false,0,86,86,103,19,0.0141,2,5,1.20,1.20,42,9,1,25,0,true,block_0x0000,86,86,15,0,false,0.00,85
Contract_0x0e5e5c1b981a20be2bfade0b114e5fe7ba6eff7f.evm,ok,15272,20,50.00,false,0,234,234,267,35,0.0049,2,17,1.14,1.14,100,18,1,67,0,true,block_0x0000,234,234,38,0,false,0.00,235
Contract_0x0e852a82cb5f1dadc1715bfc17d4d5a9796120fb.evm,ok,12848,40,25.00,false,0,98,98,116,20,0.0122,3,6,1.18,1.18,39,11,1,25,0,true,block_0x0000,98,98,12,0,false,0.00,101
Contract_0x0eb43ce1708f415dfb1734a3f69a89403011a4c1.evm,ok,15780,20,50.00,false,0,295,295,369,76,0.0043,4,16,1.25,1.25,140,27,1,71,0,true,block_0x0000,295,295,17,0,false,0.00,302
Contract_0x0f4f45f2edba03d4590bd27cf4fd62e91a2a2d6a.evm,ok,23132,30,66.67,false,0,500,500,579,81,0.0023,4,13,1.16,1.16,239,43,1,162,0,true,block_0x0000,500,500,23,0,false,0.00,502
