sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0xc234efe85f6f31c47485659e8deb21b0885118c5.evm,ok,50708,2160,99.07,false,,284,318,36,0.0040,7,10,1.12,1.12,123,10,2,94,1,true,"""0x0""",283,284,99.65,25,1
Contract_0xc2cb1040220768554cf699b0d863a3cd4324ce32.evm,ok,254856,260800,99.51,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0xc30c69403f9f25ce965119bb95346bbfad1af7c7.evm,ok,43380,1730,99.42,false,,141,152,13,0.0077,3,3,1.08,1.08,56,12,2,46,1,true,"""0x0""",140,141,99.29,30,1
Contract_0xc3724ecc219cfcbb29b6418ea8ec1dc91559ac12.evm,ok,81360,9060,99.78,false,,395,598,205,0.0038,15,18,1.51,1.51,173,58,2,89,1,true,"""0x0""",394,395,99.75,21,1
Contract_0xc3b1a4e4e1574fd51e633fa725a3d5e9c6787bea.evm,ok,41972,1200,99.17,false,,151,170,21,0.0075,4,4,1.13,1.13,60,16,2,44,1,true,"""0x0""",150,151,99.34,19,1
Contract_0xc3f9498f63e292c6c3d3468dea3c7099a94eac16.evm,ok,33256,790,98.73,false,,31,30,1,0.0323,2,2,0.97,0.97,13,1,2,14,1,false,"""0x0""",30,31,96.77,11,1
Contract_0xc4c1f484b6dc3edb27f3a208735dc96ac9c03bdd.evm,ok,45872,1340,99.25,false,,251,266,17,0.0042,4,14,1.06,1.06,81,17,27,69,23,true,"""0x0""",218,251,86.85,34,22
Contract_0xc5c0B2E7a265c96D29aE1E4e70Cd542deDc87aee.evm,ok,99448,8000,99.88,false,,382,510,130,0.0035,10,8,1.34,1.34,159,68,2,85,1,true,"""0x0""",381,382,99.74,30,1
Contract_0xc5d62ba0d89fabe682058c6c65389f255c5b192e.evm,ok,42888,1250,98.40,false,,185,202,19,0.0059,4,4,1.09,1.09,70,14,2,56,1,true,"""0x0""",184,185,99.46,25,1
Contract_0xc627dd7a92cd32b2ea6d0a0aa798908f6c3691af.evm,ok,105260,10940,99.82,false,,610,791,183,0.0021,28,10,1.30,1.30,246,58,7,220,5,true,"""0x0""",603,610,98.85,49,5
